286;-2389849
571;-2389848
855;-2389847
1138;-2389846
1420;-2389845
1701;-2389844
1981;-2389843
2260;-2389842
2538;-2389841
2815;-2389840
3091;-2389839
3366;-2389838
3640;-2389837
3913;-2389836
4185;-2389835
4456;-2389834
4726;-2389833
4995;-2389832
5263;-2389831
5530;-2389830
5796;-2389829
6061;-2389828
6325;-2389827
6588;-2389826
6850;-2389825
7111;-2389824
7371;-2389823
7630;-2389822
7888;-2389821
8145;-2389820
8401;-2389819
8656;-2389818
8910;-2389817
9163;-2389816
9415;-2389815
9666;-2389814
9916;-2389813
10165;-2389812
10413;-2389811
10660;-2389810
10906;-2389809
11151;-2389808
11395;-2389807
11638;-2389806
11880;-2389805
12121;-2389804
12361;-2389803
12600;-2389802
12838;-2389801
13075;-2389800
13311;-2389799
13546;-2389798
13780;-2389797
14013;-2389796
14245;-2389795
14476;-2389794
14706;-2389793
14935;-2389792
15163;-2389791
15390;-2389790
15616;-2389789
15841;-2389788
16065;-2389787
16288;-2389786
16510;-2389785
16731;-2389784
16951;-2389783
17170;-2389782
17388;-2389781
17605;-2389780
17821;-2389779
18036;-2389778
18250;-2389777
18463;-2389776
18675;-2389775
18886;-2389774
19096;-2389773
19305;-2389772
19513;-2389771
19720;-2389770
19926;-2389769
20131;-2389768
20335;-2389767
20538;-2389766
20740;-2389765
20941;-2389764
21141;-2389763
21340;-2389762
21538;-2389761
21735;-2389760
21931;-2389759
22126;-2389758
22320;-2389757
22513;-2389756
22705;-2389755
22896;-2389754
23086;-2389753
23275;-2389752
23463;-2389751
23650;-2389750
23836;-2389749
24021;-2389748
24205;-2389747
24388;-2389746
24570;-2389745
24751;-2389744
24931;-2389743
25110;-2389742
25288;-2389741
25465;-2389740
25641;-2389739
25816;-2389738
25990;-2389737
26163;-2389736
26335;-2389735
26506;-2389734
26676;-2389733
26845;-2389732
27013;-2389731
27180;-2389730
27346;-2389729
27511;-2389728
27675;-2389727
27838;-2389726
28000;-2389725
28161;-2389724
28321;-2389723
28480;-2389722
28638;-2389721
28795;-2389720
28951;-2389719
29106;-2389718
29260;-2389717
29413;-2389716
29565;-2389715
29716;-2389714
29866;-2389713
30015;-2389712
30163;-2389711
30310;-2389710
30456;-2389709
30601;-2389708
30745;-2389707
30888;-2389706
31173;-2389704
31315;-2389703
31598;-2389701
31739;-2389700
32020;-2389698
32160;-2389697
32439;-2389695
32578;-2389694
32855;-2389692
32993;-2389691
33268;-2389689
33405;-2389688
33678;-2389686
33814;-2389685
34085;-2389683
34220;-2389682
34489;-2389680
34623;-2389679
34890;-2389677
35023;-2389676
35288;-2389674
35420;-2389673
35683;-2389671
35814;-2389670
36075;-2389668
36205;-2389667
36464;-2389665
36593;-2389664
36850;-2389662
36978;-2389661
37233;-2389659
37360;-2389658
37613;-2389656
37739;-2389655
37990;-2389653
38115;-2389652
38364;-2389650
38488;-2389649
38735;-2389647
38858;-2389646
39103;-2389644
39225;-2389643
39468;-2389641
39589;-2389640
39830;-2389638
39950;-2389637
40189;-2389635
40308;-2389634
40545;-2389632
40663;-2389631
40898;-2389629
41015;-2389628
41248;-2389626
41364;-2389625
41595;-2389623
41710;-2389622
41939;-2389620
42053;-2389619
42280;-2389617
42393;-2389616
42618;-2389614
42730;-2389613
42953;-2389611
43064;-2389610
43285;-2389608
43395;-2389607
43614;-2389605
43723;-2389604
43940;-2389602
44048;-2389601
44263;-2389599
44370;-2389598
44583;-2389596
44689;-2389595
44900;-2389593
45005;-2389592
45214;-2389590
45318;-2389589
45525;-2389587
45628;-2389586
45833;-2389584
45935;-2389583
46138;-2389581
46239;-2389580
46440;-2389578
46540;-2389577
46739;-2389575
46838;-2389574
47035;-2389572
47133;-2389571
47328;-2389569
47425;-2389568
47618;-2389566
47714;-2389565
47905;-2389563
48000;-2389562
48284;-2389559
48473;-2389557
48756;-2389554
48850;-2389553
49131;-2389550
